llm;tema;tamanho_medio;formalidade;giria_media;emoji_media;Complexidade de Leitura (Flesch-Kincaid);Riqueza Lexical (Variedade no vocab);Frequencia StopWords;Perplexidade
ChatGPT;Dolar;30.33;Informal;66.67%;100.00%;50.79;0.99;0.44;1.00
ChatGPT;CasasDeApostas;32.17;Formal;50.00%;100.00%;32.66;0.98;0.38;1.00
ChatGPT;Impostos;28.33;Formal;66.67%;100.00%;48.58;0.99;0.38;1.00
ChatGPT;Streaming;25.83;Formal;66.67%;100.00%;59.94;0.98;0.41;1.00
ChatGPT;InteligenciaArtificial;31.17;Informal;66.67%;100.00%;47.43;0.98;0.40;1.00
Cohere;Impostos;40.00;Formal;66.67%;0.00%;21.34;0.94;0.39;1.00
Cohere;Streaming;33.00;Formal;66.67%;0.00%;42.93;0.99;0.42;1.00
Cohere;CasasDeApostas;40.33;Formal;66.67%;0.00%;32.40;0.99;0.44;1.00
Cohere;Dolar;43.00;Formal;66.67%;0.00%;39.03;0.99;0.43;1.00
Cohere;InteligenciaArtificial;35.33;Formal;66.67%;0.00%;28.50;0.98;0.41;1.00
DeepSeek;Impostos;67.50;Formal;100.00%;16.67%;30.82;0.92;0.43;1.00
DeepSeek;Streaming;36.83;Formal;83.33%;0.00%;43.03;0.96;0.40;1.00
DeepSeek;Dolar;54.00;Formal;83.33%;0.00%;27.49;0.96;0.41;1.00
DeepSeek;CasasDeApostas;52.50;Formal;33.33%;0.00%;31.95;0.97;0.43;1.00
DeepSeek;InteligenciaArtificial;57.00;Formal;83.33%;0.00%;13.11;0.97;0.42;1.00
Gemini;Impostos;30.33;Formal;66.67%;100.00%;50.62;0.99;0.34;1.00
Gemini;InteligenciaArtificial;30.17;Informal;83.33%;100.00%;57.83;0.96;0.36;1.00
Gemini;Dolar;35.67;Formal;66.67%;100.00%;68.74;0.97;0.33;1.00
Gemini;Streaming;31.50;Formal;100.00%;100.00%;51.12;0.97;0.29;1.00
Gemini;CasasDeApostas;37.00;Informal;83.33%;83.33%;47.50;0.97;0.36;1.00
Llama;CasasDeApostas;29.33;Formal;33.33%;0.00%;36.68;0.99;0.51;1.00
Llama;InteligenciaArtificial;33.33;Formal;66.67%;0.00%;38.00;0.99;0.50;1.00
Llama;Impostos;39.17;Formal;50.00%;0.00%;22.01;0.99;0.47;1.00
Llama;Streaming;31.00;Formal;83.33%;0.00%;37.83;1.00;0.49;1.00
Llama;Dolar;25.00;Formal;0.00%;0.00%;37.78;1.00;0.52;1.00
MaritacaIA;CasasDeApostas;49.17;Informal;83.33%;16.67%;20.26;0.98;0.40;1.00
MaritacaIA;Dolar;41.17;Formal;83.33%;50.00%;43.55;0.96;0.39;1.00
MaritacaIA;InteligenciaArtificial;44.67;Informal;100.00%;16.67%;41.66;0.95;0.41;1.00
MaritacaIA;Streaming;43.33;Informal;100.00%;33.33%;38.17;0.97;0.34;1.00
MaritacaIA;Impostos;45.83;Informal;83.33%;50.00%;33.30;0.97;0.33;1.00
Mistral;Streaming;19.83;Formal;66.67%;66.67%;57.64;0.99;0.34;1.00
Mistral;InteligenciaArtificial;29.50;Formal;33.33%;0.00%;45.26;0.97;0.42;1.00
Mistral;CasasDeApostas;28.67;Formal;16.67%;0.00%;32.72;0.97;0.37;1.00
Mistral;Impostos;20.83;Formal;66.67%;50.00%;44.98;0.97;0.36;1.00
Mistral;Dolar;28.17;Formal;50.00%;16.67%;39.83;0.99;0.44;1.00
